epoch,loss,val_loss,accuracy,val_accuracy
3.800000000000000000e+01,1.608325690031051636e-01,1.863169968128204346e-01,9.391061663627624512e-01,9.309617280960083008e-01
3.900000000000000000e+01,1.561597287654876709e-01,1.897956132888793945e-01,9.430251121520996094e-01,9.285498857498168945e-01
4.000000000000000000e+01,1.572095006704330444e-01,1.828146427869796753e-01,9.423468112945556641e-01,9.270424842834472656e-01
4.100000000000000000e+01,1.552617847919464111e-01,1.820836663246154785e-01,9.424975514411926270e-01,9.303587675094604492e-01
4.200000000000000000e+01,1.539187282323837280e-01,1.757903695106506348e-01,9.409902691841125488e-01,9.330720305442810059e-01
4.300000000000000000e+01,1.515774577856063843e-01,1.953523904085159302e-01,9.435526132583618164e-01,9.258366227149963379e-01
4.400000000000000000e+01,1.508156657218933105e-01,1.890871524810791016e-01,9.440048336982727051e-01,9.318661689758300781e-01
4.500000000000000000e+01,1.518266350030899048e-01,1.760630756616592407e-01,9.437033534049987793e-01,9.342779517173767090e-01
4.600000000000000000e+01,1.457985192537307739e-01,1.872673630714416504e-01,9.467932581901550293e-01,9.243292212486267090e-01
4.700000000000000000e+01,1.417743563652038574e-01,1.793791949748992920e-01,9.458889365196228027e-01,9.294543266296386719e-01
4.800000000000000000e+01,1.418100297451019287e-01,1.777675747871398926e-01,9.452859759330749512e-01,9.336749911308288574e-01
4.900000000000000000e+01,1.420671343803405762e-01,1.730428934097290039e-01,9.455874562263488770e-01,9.315646886825561523e-01
5.000000000000000000e+01,1.360017955303192139e-01,1.731115281581878662e-01,9.492802619934082031e-01,9.315646886825561523e-01
5.100000000000000000e+01,1.388822942972183228e-01,1.857029646635055542e-01,9.463410973548889160e-01,9.273439645767211914e-01
5.200000000000000000e+01,1.367425173521041870e-01,1.872322559356689453e-01,9.494310021400451660e-01,9.318661689758300781e-01
5.300000000000000000e+01,1.391677856445312500e-01,1.707863211631774902e-01,9.464918375015258789e-01,9.369912743568420410e-01
5.400000000000000000e+01,1.339144855737686157e-01,1.762962639331817627e-01,9.490541815757751465e-01,9.345794320106506348e-01
5.500000000000000000e+01,1.339261382818222046e-01,1.723882704973220825e-01,9.489788413047790527e-01,9.357853531837463379e-01
5.600000000000000000e+01,1.329018324613571167e-01,1.689505726099014282e-01,9.477729797363281250e-01,9.381971955299377441e-01
5.700000000000000000e+01,1.340374648571014404e-01,1.775822490453720093e-01,9.483005404472351074e-01,9.342779517173767090e-01
5.800000000000000000e+01,1.242115125060081482e-01,1.755577772855758667e-01,9.528977274894714355e-01,9.369912743568420410e-01
5.900000000000000000e+01,1.283044964075088501e-01,1.691318005323410034e-01,9.528977274894714355e-01,9.375942349433898926e-01
6.000000000000000000e+01,1.293404400348663330e-01,1.870044618844985962e-01,9.510136246681213379e-01,9.306602478027343750e-01
6.100000000000000000e+01,1.250227987766265869e-01,1.693461239337921143e-01,9.544803500175476074e-01,9.378957152366638184e-01
6.200000000000000000e+01,1.279695481061935425e-01,1.801370084285736084e-01,9.513904452323913574e-01,9.357853531837463379e-01
6.300000000000000000e+01,1.235841885209083557e-01,1.756797879934310913e-01,9.525963068008422852e-01,9.372927546501159668e-01
6.400000000000000000e+01,1.308636665344238281e-01,1.839425861835479736e-01,9.498078227043151855e-01,9.324690699577331543e-01
6.500000000000000000e+01,1.175326406955718994e-01,1.809583604335784912e-01,9.569673538208007812e-01,9.312632083892822266e-01
6.600000000000000000e+01,1.175566166639328003e-01,1.707905232906341553e-01,9.559122920036315918e-01,9.394030570983886719e-01
