epoch,loss,val_loss,accuracy,val_accuracy
0.000000000000000000e+00,9.592368006706237793e-01,7.804577350616455078e-01,5.775114893913269043e-01,6.539041399955749512e-01
1.000000000000000000e+00,7.148181200027465820e-01,6.371175050735473633e-01,6.703594923019409180e-01,7.223394513130187988e-01
2.000000000000000000e+00,5.952733755111694336e-01,5.601606965065002441e-01,7.416535019874572754e-01,7.811275124549865723e-01
3.000000000000000000e+00,5.279924869537353516e-01,4.913761019706726074e-01,7.803150415420532227e-01,8.145915269851684570e-01
4.000000000000000000e+00,4.656824767589569092e-01,4.372739791870117188e-01,8.091793060302734375e-01,8.329815864562988281e-01
5.000000000000000000e+00,4.226657152175903320e-01,3.777607679367065430e-01,8.306578993797302246e-01,8.613204956054687500e-01
6.000000000000000000e+00,3.907949626445770264e-01,3.616135120391845703e-01,8.479161858558654785e-01,8.667470812797546387e-01
7.000000000000000000e+00,3.604013919830322266e-01,3.203171491622924805e-01,8.614062666893005371e-01,8.815194368362426758e-01
8.000000000000000000e+00,3.404366970062255859e-01,3.017269670963287354e-01,8.683397173881530762e-01,8.917696475982666016e-01
9.000000000000000000e+00,3.283104598522186279e-01,2.994675636291503906e-01,8.741427659988403320e-01,8.905637860298156738e-01
1.000000000000000000e+01,3.110631704330444336e-01,2.950555682182312012e-01,8.807747364044189453e-01,8.926740884780883789e-01
1.100000000000000000e+01,3.015342354774475098e-01,2.821273207664489746e-01,8.838646411895751953e-01,8.990051150321960449e-01
1.200000000000000000e+01,2.903228104114532471e-01,2.695944905281066895e-01,8.865777254104614258e-01,8.974977135658264160e-01
1.300000000000000000e+01,2.776727080345153809e-01,2.558968365192413330e-01,8.951691985130310059e-01,9.071450233459472656e-01
1.400000000000000000e+01,2.700361311435699463e-01,2.381431758403778076e-01,8.978822827339172363e-01,9.119686484336853027e-01
1.500000000000000000e+01,2.606717050075531006e-01,2.453173846006393433e-01,9.017258286476135254e-01,9.116671681404113770e-01
1.600000000000000000e+01,2.565944790840148926e-01,2.293140739202499390e-01,9.014243483543395996e-01,9.182996749877929688e-01
1.700000000000000000e+01,2.482822984457015991e-01,2.278072535991668701e-01,9.066244363784790039e-01,9.173952341079711914e-01
1.800000000000000000e+01,2.397422343492507935e-01,2.464811950922012329e-01,9.089607596397399902e-01,9.086524248123168945e-01
1.900000000000000000e+01,2.285992503166198730e-01,2.217222601175308228e-01,9.147637486457824707e-01,9.195055961608886719e-01
2.000000000000000000e+01,2.255661636590957642e-01,2.175883501768112183e-01,9.146130084991455078e-01,9.186011552810668945e-01
2.100000000000000000e+01,2.208693027496337891e-01,2.141482234001159668e-01,9.165724515914916992e-01,9.213144183158874512e-01
2.200000000000000000e+01,2.136103361845016479e-01,2.074401825666427612e-01,9.195116162300109863e-01,9.249321818351745605e-01
2.300000000000000000e+01,2.067238688468933105e-01,2.059982866048812866e-01,9.213203787803649902e-01,9.210129380226135254e-01
2.400000000000000000e+01,2.014284580945968628e-01,2.066113054752349854e-01,9.230537414550781250e-01,9.210129380226135254e-01
2.500000000000000000e+01,1.985374093055725098e-01,2.221621721982955933e-01,9.247117638587951660e-01,9.137775301933288574e-01
2.600000000000000000e+01,1.939942389726638794e-01,2.001658380031585693e-01,9.259929060935974121e-01,9.258366227149963379e-01
2.700000000000000000e+01,1.944358199834823608e-01,2.023483812808990479e-01,9.284799098968505859e-01,9.219173789024353027e-01
2.800000000000000000e+01,1.952224522829055786e-01,1.980539262294769287e-01,9.260683059692382812e-01,9.279469251632690430e-01
2.900000000000000000e+01,1.849480569362640381e-01,1.961942315101623535e-01,9.303640127182006836e-01,9.249321818351745605e-01
3.000000000000000000e+01,1.830547004938125610e-01,1.980691999197006226e-01,9.314944744110107422e-01,9.276454448699951172e-01
3.100000000000000000e+01,1.783891767263412476e-01,1.964032053947448730e-01,9.338307380676269531e-01,9.222188591957092285e-01
3.200000000000000000e+01,1.803676337003707886e-01,1.935340166091918945e-01,9.311176538467407227e-01,9.300572872161865234e-01
3.300000000000000000e+01,1.759070307016372681e-01,1.832402348518371582e-01,9.357901811599731445e-01,9.285498857498168945e-01
3.400000000000000000e+01,1.738365590572357178e-01,1.910180300474166870e-01,9.372974634170532227e-01,9.288513660430908203e-01
3.500000000000000000e+01,1.678329855203628540e-01,1.875650435686111450e-01,9.394076466560363770e-01,9.237262606620788574e-01
3.600000000000000000e+01,1.705556511878967285e-01,1.904759109020233154e-01,9.351119399070739746e-01,9.285498857498168945e-01
3.700000000000000000e+01,1.583262681961059570e-01,1.835477799177169800e-01,9.415931701660156250e-01,9.276454448699951172e-01
